quiz_id,quiz_title,topic_folder,scenario_id,scenario_title,question_id,sentence_en,keyword,correct,option_b,option_c,option_d,tts_lang
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q01,[Run] the alley scraper to clean manure from the aisles.,run,poner en marcha,correr,subir,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q02,Run the [alley scraper] to clean manure from the aisles.,alley scraper,raspador de pasillos,empacadora,cargadora,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q03,Run the alley scraper to [clean] manure from the aisles.,clean,limpiar,lavar,arreglar,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q04,Run the alley scraper to clean [manure] from the aisles.,manure,estiércol,heno,arena,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q05,Run the alley scraper to clean manure from the [aisles].,aisles,pasillos,corrales,establos,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q06,[Connect] the hose to the faucet and the nozzle to the hose.,connect,conectar,fijar,encender,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q07,Connect the [hose] to the faucet and the nozzle to the hose.,hose,manguera,cubeta,boquilla,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q08,Connect the hose to the [faucet] and the nozzle to the hose.,faucet,grifo,pasillo,basurero,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q09,Connect the hose to the faucet and the [nozzle] to the hose.,nozzle,boquilla,manguera,cuerda,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q10,[Wash down] the aisle after milking.,wash down,lavar,limpiar,rociar,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q11,Wash down the [aisle] after milking.,aisle,pasillo,corral,establo,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q12,Wash down the aisle after [milking].,milking,el ordeño,la cosecha,el turno,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q13,[Throw out] the trash — put the trash bags in the trashcan.,throw out,tirar,limpiar,poner,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q14,Throw out the trash — put the [trash bags] in the trashcan.,trash bags,bolsas de basura,cubetas,mangueras,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q15,Throw out the trash — put the trash bags in the [trashcan].,trashcan,basurero,corral,establo,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q16,Use the [bucket] to clean up the milk spill in the aisle.,bucket,cubeta,pala,manguera,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q17,Use the bucket to [clean up] the milk spill in the aisle.,clean up,limpiar,lavar,raspar,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S01,Clean the Barn,DAIRY-001-Q18,Use the bucket to clean up the [milk] spill in the aisle.,milk,leche,agua,estiércol,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q19,[Start] the mixer to prepare the total mixed ration.,start,encender,poner en marcha,conectar,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q20,Start the [mixer] to prepare the total mixed ration.,mixer,mezcladora,cargadora,picadora,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q21,[Cut] the string on the bale before putting it in the mixer.,cut,cortar,doblar,apretar,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q22,Cut the [string] on the bale before putting it in the mixer.,string,cuerda,alambre,cadena,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q23,Cut the string on the [bale] before putting it in the mixer.,bale,paca,comedero,remolque,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q24,Cut the string on the bale before [putting] it in the mixer.,putting,poner,lavar,arreglar,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q25,Put the [feed] in the trough before the cows come in.,feed,alimento,agua,ensilaje,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q26,Put the feed in the [trough] before the cows come in.,trough,comedero,pasillo,establo,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q27,[Give] the cows water in the troughs.,give,dar,poner,subir,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q28,Give the cows [water] in the troughs.,water,agua,leche,alimento,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q29,Use the [truck] to haul the feed to the far barn.,truck,camión de carga,tractor,remolque,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q30,Use the truck to [haul] the feed to the far barn.,haul,transportar,limpiar,poner,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q31,Use the truck to haul the feed to the far [barn].,barn,establo,corral,laguna,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q32,[Load] the hay bales onto the wagon before the rain.,load,cargar,sacar,mover,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q33,Load the [hay] bales onto the wagon before the rain.,hay,heno,maíz,ensilaje,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q34,Load the hay [bales] onto the wagon before the rain.,bales,pacas,cubetas,llantas,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S02,Feed the Herd,DAIRY-001-Q35,Load the hay bales onto the [wagon] before the rain.,wagon,remolque,cargadora,tractor,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q36,Use the [hammer] to fix the broken gate post.,hammer,martillo,taladro,desarmador,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q37,Use the hammer to [fix] the broken gate post.,fix (repair),arreglar,limpiar,doblar,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q38,Use the hammer to fix the broken [gate] post.,gate,puerta,cerca,establo,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q39,Use the hammer to fix the broken gate [post].,post,poste,bisagra,pestillo,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q40,Use the [screwdriver] to tighten the loose screw on the gate hinge.,screwdriver,desarmador,martillo,llave,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q41,Use the screwdriver to [tighten] the loose screw on the gate hinge.,tighten,apretar,doblar,fijar,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q42,Use the screwdriver to tighten the loose [screw] on the gate hinge.,screw,tornillo,clavo,tuerca,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q43,Use the screwdriver to tighten the loose screw on the gate [hinge].,hinge,bisagra,pestillo,poste,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q44,Use the [nail gun] to attach the boards to the fence frame.,nail gun,clavadora,taladro,martillo,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q45,Use the nail gun to [attach] the boards to the fence frame.,attach,fijar,limpiar,apretar,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q46,Use the nail gun to attach the [boards] to the fence frame.,boards,tablas,postes,grapas,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q47,Use the nail gun to attach the boards to the [fence frame].,fence frame,marco de la cerca,pasillo,poste,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q48,Use the [staples] to attach the wire to the fence posts.,staples,grapas,tornillos,cadena,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q49,Use the staples to attach the [wire] to the fence posts.,wire,alambre,cadena,cuerda,,en-US
DAIRY-001,Dairy Farm Vocabulary Quiz,Dairy,DAIRY-001-S03,Fence & Corral Repair,DAIRY-001-Q50,[Tie] the gate with the chain until we get a new latch.,tie,amarrar,fijar,conectar,,en-US
